Id,Price
4567,162376.78665884412
5925,118296.63671214697
960,142527.68642526132
3848,126308.5348158346
746,205660.76998540302
868,334563.5478047405
672,110849.34434861675
2471,199778.30300508055
4510,115245.84313156264
8354,261015.62738847945
6393,182915.68875586046
13270,230398.94446354907
5250,328188.9903142711
16751,180859.55416257816
11404,124170.12498615104
10588,352999.21930252993
14925,175718.73707352064
6791,185779.78205506573
16097,184077.73114275053
16428,363489.80204393115
6945,336939.9217338079
3190,193678.28393540415
15709,418742.00383623753
13155,161531.99304810152
7675,189510.86785425624
14686,220601.33812652904
609,155074.9488330447
11155,169776.39223407648
10869,186309.2776343373
15742,188667.41952014135
9245,191923.69021392489
3340,154903.09530880107
2359,271256.5657966221
8070,203308.86736024084
13707,120005.13830585178
16079,265386.75429615
15937,268523.29372252856
14090,176039.65096190278
9008,221378.31104296912
16384,170952.22871241145
11657,242562.48632407057
13151,160443.47592588534
8990,165198.09645786657
11857,184250.7435559909
1565,165683.9134680597
8174,114562.35570430882
9247,248545.3021208315
10478,227787.20896451228
15509,139688.89501959443
8306,239832.93046115703
6642,186717.4676902582
7472,195850.34294603727
15989,129758.68505698825
13682,140030.953644995
163,247619.83297246305
7076,179711.0321663464
7478,404050.0659375303
3029,192239.1563474071
1814,144059.73133121565
10057,138585.16187189694
15100,189948.89382907865
12694,230857.30461748326
6291,184960.22690493902
12603,209381.9714325366
3218,248866.28092945245
13456,128610.26947060325
10170,231867.90551343493
4530,156324.21643088516
13329,171939.00826371816
4820,148932.52954814117
10896,170172.30313509164
13416,118362.08881425305
2701,214511.10388588748
11265,338492.93661681307
9189,261243.69106682285
1858,188724.8036993466
14536,241187.65856968935
6199,293822.05950624077
14730,152219.5914319699
7510,271164.37792986515
15505,164197.14401781946
7446,198490.22042656448
14016,193647.9582406227
14113,101279.9564072446
8721,299323.2329374389
6193,328503.97987300064
5717,177800.33181004316
5427,319826.4274598792
9520,454603.6653918669
6869,98336.77368815147
1658,146818.58827178937
6639,220497.67309144058
6283,196856.11430430276
6257,122082.80905252008
15235,175898.03924090377
902,215411.79377666255
8932,198880.69598161106
16469,395729.02314011555
2825,278399.1229095654
6450,469272.67223293066
11366,181296.44647523275
3801,395696.2445632965
11385,193819.60801880655
1079,187313.14117600553
3202,241918.95373756767
676,234355.8381420512
6185,303025.7623520403
7730,160971.8286356053
2573,184602.53352016435
10978,209746.58657236322
10962,259923.92425962663
8870,208972.301609954
8496,179131.0839921123
